category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
vitae                ,79   ,$1.15B          ,$3.3B           ,$189.23B        ,$909.47M        ,$6.79M          ,$21.5M          ,$231.87M        ,$1.51B          ,$3.89B          ,$176.55M         ,true
quam                 ,9    ,$34.79M         ,$475.85M        ,$13.23B         ,$1.06B          ,$3.78M          ,$181.85M        ,$1.05B          ,$7.44B          ,$107.22M        ,$2.92B           ,true
id ligula            ,66   ,$15.62B         ,$774.33M        ,$10.25B         ,$763.42M        ,$157.69B        ,$42.87M         ,$4.28B          ,$3.69B          ,$18.56M         ,$150.3M          ,false
placerat ante        ,90   ,$246.49M        ,$985.28M        ,$204.1M         ,$11.3B          ,$26.13M         ,$2.45B          ,$251.77M        ,$88.09B         ,n/a             ,$6.98B           ,true
faucibus             ,98   ,$184.64M        ,n/a             ,$518.61M        ,$449.92M        ,n/a             ,$656.65M        ,$797.33M        ,$1.42B          ,$4.32B          ,$12.15B          ,false
suspendisse accumsan ,72   ,$38.19M         ,$3.22B          ,$87.31B         ,$179.06M        ,$21.32B         ,$79.32M         ,$7.84M          ,$1.28B          ,$315.81M        ,$105.45M         ,true
eget massa           ,57   ,$80.33M         ,$2.65B          ,$352.64M        ,$235.35M        ,n/a             ,n/a             ,$33.43M         ,$1.8B           ,$290.46M        ,n/a              ,true
eleifend donec       ,95   ,$35.28M         ,$18.34M         ,n/a             ,$220.34M        ,n/a             ,$49.79M         ,n/a             ,n/a             ,$3.77B          ,                 ,false
praesent             ,27   ,$1.15B          ,n/a             ,n/a             ,$1.49B          ,$13B            ,$719.35M        ,$39.39M         ,$201.19M        ,$816.46M        ,$5.1B            ,true
nisl                 ,91   ,$39.27B         ,$188.85M        ,$257.8M         ,$1.67B          ,n/a             ,$931.89M        ,$147.55M        ,$21.91M         ,$154.07M        ,$251.61M         ,false
morbi                ,17   ,n/a             ,$6.83B          ,n/a             ,n/a             ,$9.06B          ,$553.69M        ,$83.39M         ,$24.7M          ,$683.54M        ,$32.7M           ,true
nam                  ,29   ,$27.09B         ,$42.31M         ,n/a             ,$392.46M        ,$203.67M        ,n/a             ,$618.48M        ,$244.93M        ,$8.21B          ,$1.53B           ,false
odio cras            ,18   ,n/a             ,$2.98B          ,$258.27M        ,n/a             ,n/a             ,$378.97M        ,$145.67M        ,$2.75B          ,$397.33M        ,n/a              ,true
est donec            ,90   ,$168.88M        ,$1.42B          ,n/a             ,$27.6M          ,$975.82M        ,                ,$688.77M        ,$260.75M        ,$7.14B          ,$498.57M         ,false
mattis odio          ,63   ,$94.54M         ,$658.35M        ,$703.55M        ,$89.33M         ,$290.46M        ,n/a             ,$133.53M        ,$498.3M         ,n/a             ,n/a              ,true
nascetur ridiculus   ,27   ,$3.79B          ,$64.31M         ,$43.73M         ,n/a             ,$547.07M        ,$499.79M        ,n/a             ,$468.42M        ,$1.7B           ,                 ,true
eu nibh              ,89   ,$1.69B          ,$50.09B         ,n/a             ,$323.02M        ,n/a             ,$35.97B         ,$121.6M         ,$129.26M        ,$37.4B          ,$279M            ,true
in                   ,30   ,$660.3M         ,$556.53M        ,$810.73M        ,$155.93M        ,n/a             ,n/a             ,$22.77B         ,n/a             ,$153.07M        ,$193.67M         ,true
non velit            ,90   ,n/a             ,$55.69B         ,$433.25M        ,$6.5B           ,$1.54M          ,$305.71M        ,$299.6M         ,n/a             ,$115.2M         ,n/a              ,true
eget tincidunt       ,34   ,$15.36M         ,$120.57B        ,$4.06B          ,$2B             ,$79.88M         ,$5.24B          ,$3.77B          ,$267.54M        ,$1.41B          ,$446.72M         ,true
condimentum          ,61   ,$5.79M          ,$4.11B          ,$1.8B           ,$681.44M        ,$162.87M        ,$47.9M          ,$279.93M        ,n/a             ,$2.61M          ,$330.28M         ,true
neque                ,86   ,$386.9M         ,$441.26M        ,$34.21M         ,$3.34B          ,$153.37M        ,                ,$195.79B        ,$204.83M        ,$48.27M         ,                 ,true
cursus               ,13   ,$5.16M          ,$86.11M         ,$3.56B          ,n/a             ,$3.52B          ,n/a             ,$376.32M        ,$79.44B         ,$618.69M        ,$22.24M          ,true
cubilia curae        ,10   ,$732.83M        ,$305.47M        ,$164.06M        ,$243.6M         ,$157.67M        ,$1.62B          ,$581.41M        ,$70.59M         ,$83.39M         ,$52.53M          ,false
ultrices             ,7    ,$204.1M         ,$240.93M        ,$1.5B           ,$2.07B          ,n/a             ,$4.36M          ,$1.27B          ,$4.97B          ,n/a             ,$33.71B          ,false
sed nisl             ,23   ,$389.01M        ,$1.39B          ,$64.02M         ,$64.12M         ,$1.77B          ,n/a             ,$225.24M        ,n/a             ,$9.04B          ,$3.27B           ,true
at vulputate         ,53   ,$26.78B         ,$195.79B        ,$28.82M         ,$5.48B          ,$836.36M        ,$5.67B          ,$5.37B          ,$666.52M        ,$153.96M        ,$16.82M          ,false
fusce                ,94   ,$4.14B          ,n/a             ,$38.16M         ,$1.68B          ,$1.96B          ,$605.93M        ,$8.66M          ,$340.82M        ,$2.09B          ,                 ,true
risus auctor         ,60   ,n/a             ,$49.09M         ,$4.15B          ,$304.81M        ,n/a             ,                ,$641.08M        ,$385.8M         ,$339.02M        ,$1.54B           ,true
tortor               ,16   ,$121.11M        ,$1.57B          ,$2.41B          ,$52.75M         ,$16.16M         ,                ,$52.36M         ,$189.2M         ,$999.98M        ,                 ,true
quisque arcu         ,87   ,$1.23B          ,$65.07M         ,$967.78M        ,$7.15B          ,$1.72B          ,$527.16M        ,$1.11B          ,n/a             ,n/a             ,$299.6M          ,true
pellentesque viverra ,15   ,$53.4B          ,$4.36M          ,$32.63M         ,$301.01M        ,n/a             ,$147.96M        ,$2.09B          ,$1.28B          ,n/a             ,$73.14M          ,true
montes nascetur      ,41   ,$71.11M         ,$83.85B         ,$270.26M        ,$87.57M         ,$14.89M         ,$14.38M         ,n/a             ,$18.84B         ,$299.6M         ,$740.26M         ,false
aliquet at           ,82   ,$33.43M         ,$884.58M        ,$1.62B          ,$4.59B          ,n/a             ,$908.24M        ,$1.4B           ,n/a             ,n/a             ,$760.1M          ,false
odio                 ,45   ,$422.69M        ,$42.31M         ,$127.33M        ,$56.44M         ,$5.11B          ,$1.9B           ,$97.38M         ,$56.08M         ,$3.18B          ,$20.79M          ,true
vulputate            ,48   ,$70.95M         ,$9.12B          ,$145.93M        ,$16.17B         ,$1.24B          ,$4.08B          ,$1.06B          ,$47.65M         ,$210.14M        ,$2.42B           ,false
ipsum                ,36   ,$754.28M        ,$5.35B          ,$200.51M        ,n/a             ,$966M           ,n/a             ,n/a             ,$133.17M        ,$636.19M        ,$10.14B          ,true
luctus et            ,24   ,$13.74B         ,n/a             ,$13.64B         ,$4.43B          ,n/a             ,$73.17M         ,$1.67B          ,$106.14M        ,$1.81B          ,$31.32M          ,false
nunc                 ,68   ,$29.61M         ,$1.05B          ,$3.79B          ,$1.9B           ,$685.06M        ,$2.69B          ,$79.27M         ,$5.07B          ,$420.27M        ,$2.4B            ,true
cras                 ,31   ,$22.46M         ,$37.85B         ,n/a             ,n/a             ,$166.93B        ,n/a             ,$4.27B          ,$428.38M        ,$3.65B          ,$111.57M         ,false
metus                ,92   ,$98.94M         ,$125.5M         ,$281.36M        ,$79.8M          ,$24.77B         ,$570.42M        ,n/a             ,$610.36M        ,$836.2M         ,$46.3B           ,true
morbi porttitor      ,47   ,$326.53M        ,$1.54B          ,$657.36M        ,$13.09M         ,$235.9M         ,n/a             ,$2.52B          ,n/a             ,$1.65B          ,n/a              ,true
vel                  ,64   ,$1.95M          ,$2.39B          ,$357.95M        ,$92.99M         ,$116.58M        ,$191.36M        ,$122.37M        ,$21.6M          ,$442.63M        ,                 ,false
elit                 ,98   ,$164.06M        ,$1.5B           ,$2.41B          ,$2.98B          ,$58.47M         ,$1.68B          ,$7.26M          ,$11.27M         ,$22.24M         ,$110.16B         ,false
feugiat non          ,35   ,$9.71B          ,$83.95B         ,$1.42B          ,$4.58M          ,$7.17B          ,$12.03M         ,$57.73M         ,n/a             ,$562.64M        ,                 ,true
ultrices enim        ,42   ,n/a             ,$3.66B          ,$1.73B          ,$445.1M         ,$3.7B           ,$4.19B          ,$128.8M         ,$479.19M        ,$90.32M         ,n/a              ,true
ridiculus mus        ,42   ,n/a             ,$9.79B          ,$181.24M        ,$646.76M        ,$7.97B          ,n/a             ,$20.66M         ,$51.2M          ,$251.25M        ,                 ,true
phasellus sit        ,45   ,$5.27M          ,n/a             ,$751.86M        ,$23.97M         ,n/a             ,$6.28B          ,$618.69M        ,$610.36M        ,$4.42B          ,$28.55M          ,true
pede posuere         ,21   ,$11.67B         ,$4.14B          ,n/a             ,$29.05B         ,n/a             ,$1.74B          ,$93.98M         ,n/a             ,$130.34M        ,$354.29M         ,false
augue                ,6    ,n/a             ,$4.24B          ,$16.53B         ,$398.31M        ,$64.89M         ,$2.46B          ,$124.75M        ,n/a             ,$99.43M         ,$118.92M         ,true
nisi                 ,53   ,n/a             ,$4.38B          ,$335.5M         ,$196.39M        ,$180.01M        ,$1.02B          ,$205.59M        ,$1.71B          ,$2.36B          ,$3.49B           ,true
ipsum primis         ,15   ,$89.35M         ,$71.11M         ,$128.8M         ,n/a             ,$43.29B         ,$4.12B          ,$94.21M         ,$3.65B          ,$2.28B          ,$636.41M         ,true
lacinia              ,85   ,$170.51M        ,n/a             ,$515.96M        ,$13.11B         ,$341.22B        ,$1.93M          ,$175.03B        ,n/a             ,$204.1M         ,$878.56M         ,true
amet                 ,90   ,$907.72M        ,$32.92M         ,$37.72B         ,$259.46M        ,$13.11B         ,$2.33B          ,$980.54M        ,n/a             ,$316.8M         ,$4.43B           ,true
in lacus             ,59   ,n/a             ,$1.15B          ,$12.62B         ,$2.85B          ,$3.56B          ,$1.97B          ,$215.85M        ,$126.83M        ,$645.41M        ,$7.55B           ,false
interdum             ,83   ,$153.66M        ,$15.55B         ,$1.27B          ,$6.59B          ,$1.23B          ,n/a             ,$31.4M          ,n/a             ,$101.86M        ,$36.76B          ,false
nisl                 ,49   ,$1.09B          ,$9.54M          ,$1.92B          ,$2.31M          ,$470.4M         ,$614.08M        ,$18.51M         ,$3.94B          ,n/a             ,$1.96B           ,false
nullam varius        ,87   ,$1.96B          ,$4.97B          ,n/a             ,$1.4B           ,$10.91B         ,$1.9B           ,$42.5B          ,$5.04B          ,$3.33B          ,$12.5B           ,false
varius               ,87   ,n/a             ,$1.34B          ,$2.61B          ,$270.26M        ,$197.71M        ,$251.83B        ,$736.42M        ,$790.37M        ,n/a             ,n/a              ,false
ligula vehicula      ,26   ,$29.72M         ,$9.44B          ,$1.81B          ,$154.26M        ,$27.59M         ,$354.27M        ,$183.57M        ,$14.26M         ,$8.92B          ,$7.54B           ,true
vitae mattis         ,63   ,$23.38B         ,$378.01M        ,$3.5B           ,$10.83B         ,$3.6B           ,$741.96M        ,n/a             ,$80.58M         ,$9.06B          ,$75.03M          ,true
sed                  ,45   ,$56.05B         ,n/a             ,$358.85M        ,$648.9M         ,$123.88B        ,$403.79M        ,$79.88M         ,$2.86B          ,n/a             ,$194.72M         ,true
ut rhoncus           ,93   ,$323.6M         ,$1.63B          ,$4.6M           ,$50.49M         ,$10.29B         ,$3.06B          ,$11.67B         ,n/a             ,$120.43M        ,$1.69B           ,true
adipiscing           ,90   ,n/a             ,$48.54M         ,n/a             ,$37.04B         ,$543.15M        ,$2.08B          ,$33.43M         ,$18.56M         ,$203.15M        ,$9.72B           ,false
rutrum nulla         ,35   ,$2.38B          ,$126.61M        ,$14.36M         ,$1.42B          ,n/a             ,$7.7M           ,$382.11M        ,$1.41B          ,$171.9M         ,$39.11B          ,false
tempor               ,91   ,$407.51M        ,$43.5M          ,$2.76B          ,$1.23B          ,$12.86B         ,n/a             ,$20.13M         ,n/a             ,$1.27B          ,$13.87B          ,false
nisl                 ,61   ,$119.44B        ,$1.9B           ,n/a             ,$66.31M         ,$1.18B          ,$112.5M         ,$551.95M        ,n/a             ,$7.97B          ,$3.79B           ,false
tellus               ,76   ,$81.48M         ,$2.67B          ,$170.57M        ,$425.82M        ,$11.1B          ,$1.81B          ,$952M           ,$1.84B          ,$717.59M        ,$1.67B           ,true
sit                  ,22   ,$5.37B          ,$116.77M        ,n/a             ,$713.38M        ,$225.51M        ,$3.73B          ,$7.72B          ,$299.64M        ,$1.23B          ,$2.14B           ,true
nulla                ,35   ,$661.71M        ,$21.61B         ,n/a             ,n/a             ,n/a             ,n/a             ,$315.63M        ,$233.48M        ,n/a             ,$2.45B           ,false
sapien non           ,43   ,$133.17M        ,$1.62B          ,$43.74M         ,$61.57M         ,$233.48M        ,n/a             ,$9.72B          ,$5.14B          ,n/a             ,$14.06B          ,false
at                   ,65   ,$1.49B          ,$395.17M        ,$197.71M        ,$7.48B          ,$54.29M         ,$9.15M          ,$2.44M          ,$2.28B          ,$2.62B          ,$49M             ,true
orci                 ,92   ,$414.27M        ,$6.56B          ,$1.95M          ,$531.92M        ,$113.18M        ,$37.4B          ,$7.18B          ,$6.2B           ,$3.69B          ,$1.02B           ,false
at                   ,85   ,$221.12M        ,n/a             ,$206.26M        ,$684.03M        ,$31.41B         ,$1.21B          ,$2.88B          ,$1.45B          ,$332.64M        ,$195.15M         ,false
orci                 ,1    ,$2.17B          ,n/a             ,$117.97M        ,$6.26B          ,$5.61M          ,$250.2M         ,$2.27B          ,$250.05M        ,n/a             ,$8.62B           ,false
in                   ,95   ,$392.46M        ,$552.77M        ,$240.93M        ,$290.7M         ,$414.14M        ,$2.6B           ,$5.79M          ,$737.05M        ,$51.65M         ,$1.55B           ,false
magna                ,69   ,$1.23B          ,$27.63M         ,$1.52B          ,$4.11M          ,$292.85M        ,$760.1M         ,$1.78B          ,$510.83M        ,$146.86M        ,$2.09B           ,true
primis               ,37   ,$1.74B          ,$11.18B         ,$814.69M        ,$2.5B           ,n/a             ,$19.14B         ,$92.42M         ,$323.6M         ,$8.19B          ,$180.82M         ,true
enim sit             ,4    ,n/a             ,$22.86M         ,$471.62M        ,n/a             ,$103.1B         ,                ,$47.46B         ,$818.25M        ,$666.52M        ,n/a              ,false
ante                 ,14   ,$359.34M        ,$125.21M        ,$122.4M         ,$3.87B          ,$153.95M        ,$618.48M        ,$14.95M         ,$1.25M          ,$122.88M        ,$1.15B           ,true
posuere metus        ,33   ,n/a             ,$437.06M        ,$58.47M         ,$172.02M        ,$22.77M         ,                ,$730.37M        ,n/a             ,$269.2M         ,                 ,true
et ultrices          ,91   ,$15.23B         ,$3.17B          ,$164.15M        ,$3.17B          ,$233.48M        ,$4.61B          ,$548.05M        ,$4.79M          ,n/a             ,$651.31M         ,false
posuere              ,73   ,$479.19M        ,n/a             ,$100.04M        ,$4.89B          ,$179.38M        ,$955.69M        ,n/a             ,$5.6B           ,n/a             ,$207.43M         ,true
nam tristique        ,58   ,$250.05M        ,$1.55B          ,$21.32B         ,$6.29B          ,$3.86B          ,                ,$225.51M        ,$1.39B          ,$1.8B           ,n/a              ,false
ipsum                ,89   ,$251.25M        ,n/a             ,$386.51M        ,$99.51M         ,$12M            ,                ,$84.51M         ,$52.45B         ,$7.26M          ,n/a              ,true
vitae                ,69   ,$386.58M        ,$582.07M        ,$845.9M         ,$2.25B          ,$5.65B          ,$10.59B         ,n/a             ,$1.07B          ,$3.94B          ,                 ,true
vel dapibus          ,14   ,$10.93B         ,$48.3M          ,$461.83M        ,$22.91B         ,$51.73B         ,$5.93B          ,$4.38B          ,$24.77B         ,$1.61B          ,$2.41B           ,false
sollicitudin         ,10   ,$8.63B          ,$1.49B          ,$287.08M        ,n/a             ,$98.2B          ,$742.65M        ,$11.05B         ,$446.72M        ,$9.06B          ,$84.21M          ,true
felis                ,6    ,$317.23M        ,$174.98M        ,$274.06M        ,n/a             ,$828.02M        ,$347.78M        ,$1.32B          ,$1.69B          ,$661.16M        ,                 ,true
eros suspendisse     ,80   ,$1.17B          ,$6.47B          ,$229.93M        ,$1.94B          ,$1.7B           ,$9B             ,$15.33M         ,$20.56B         ,$660.53M        ,$1.88B           ,true
odio cras            ,8    ,$1.35B          ,$439.45M        ,$3.72B          ,$2.5B           ,$50.49M         ,$2.35B          ,$1.66B          ,$379.39M        ,$127.42M        ,$116.83M         ,false
in hac               ,64   ,$1.94B          ,$7.24B          ,$383.03M        ,$61.97M         ,$151.17M        ,$301.6M         ,$848.46M        ,$2.63M          ,n/a             ,$2.61B           ,false
magnis dis           ,52   ,$6.56B          ,$146.29M        ,$26.26M         ,$2.97M          ,$3.72B          ,$132.8M         ,$392.16M        ,$698.89M        ,n/a             ,                 ,true
nullam               ,27   ,$126.8B         ,$23.64B         ,$967.2M         ,$134.32M        ,$1.56B          ,$10.72M         ,$10.84B         ,$4.12B          ,$1.88B          ,$204.1M          ,false
sem                  ,98   ,$269.48M        ,n/a             ,$142.71M        ,$61.92B         ,$16.52B         ,$6.3B           ,$493.54M        ,$187.18M        ,$610.36M        ,$7.26M           ,false
at                   ,21   ,$32.29M         ,$10.79B         ,$741.2M         ,$2.07B          ,n/a             ,$29.1B          ,$6.29M          ,$582.59M        ,$9.39B          ,$6.43B           ,true
libero               ,100  ,$13.65B         ,$21.8M          ,$18.66M         ,$21.66M         ,$6.33B          ,$1.28B          ,n/a             ,$484.41M        ,$52.36M         ,n/a              ,false
quis turpis          ,9    ,n/a             ,n/a             ,$700.65M        ,$143.19M        ,$9.92B          ,$589.8M         ,$3.47B          ,$637.26M        ,n/a             ,                 ,true
imperdiet sapien     ,85   ,$739.26M        ,$10.54M         ,n/a             ,$517.13M        ,$2.05B          ,$420.27M        ,$250.29M        ,$6.57B          ,$446.72M        ,                 ,false
turpis donec         ,53   ,n/a             ,$425.82M        ,n/a             ,$3.27B          ,$436.6M         ,$649.98M        ,$167.67M        ,$631.2M         ,$165.72M        ,$1.83B           ,false
adipiscing elit      ,99   ,$157.8M         ,$16.06B         ,$19.65M         ,$425.82M        ,$2.68B          ,$18.63B         ,$8.33B          ,$9.48B          ,$1.07B          ,                 ,false
rhoncus              ,24   ,$8.52B          ,n/a             ,$2.91M          ,$1.96B          ,$226.43M        ,n/a             ,$688.3M         ,$5.41M          ,$2.84B          ,$2.25B           ,true
iaculis justo        ,35   ,$5.24B          ,$14.59B         ,n/a             ,$18.36B         ,$923.88M        ,$705.42M        ,$20.34B         ,$559.33M        ,$1.79B          ,$612.59M         ,true
suscipit             ,56   ,$18.8B          ,$90.06M         ,$16.59M         ,$483.16M        ,n/a             ,n/a             ,$448.07M        ,$3.63B          ,$1.3B           ,                 ,true
at                   ,64   ,$89.88M         ,$3.68B          ,$39.22B         ,$491.64M        ,$1.16B          ,$85.97M         ,n/a             ,$5.24B          ,$462.71M        ,$655.59M         ,true
amet sapien          ,16   ,$15.44B         ,$1.84B          ,$560.06M        ,$5.1B           ,$69.91M         ,$217.09M        ,n/a             ,$116.91M        ,$132.8M         ,$15.85B          ,true
tortor               ,24   ,$1.21B          ,$55.33M         ,n/a             ,$7.06B          ,$417.14M        ,$8.89B          ,$426.47M        ,$91.14M         ,$230.28M        ,$351.67M         ,true
congue risus         ,90   ,$21.87M         ,$163.76M        ,$2.05B          ,$2.5B           ,n/a             ,$384.71M        ,$325.51M        ,$27.94B         ,$1.3B           ,                 ,false
odio elementum       ,98   ,$361.05M        ,$1.29B          ,$104.55M        ,$68.19B         ,n/a             ,$4.34B          ,$855.12M        ,$6.97B          ,n/a             ,$231.22M         ,true
laoreet              ,82   ,$90.88M         ,$24.59M         ,$7.15B          ,$3.45B          ,n/a             ,$293.39M        ,$909.47M        ,$10.93B         ,n/a             ,$34.35B          ,false
nibh in              ,18   ,$239.77M        ,$5.23B          ,$34.48M         ,$9.82B          ,$13.56M         ,$238.94M        ,n/a             ,$30.96M         ,$716.42M        ,n/a              ,false
phasellus sit        ,84   ,$1.64B          ,n/a             ,$30.59M         ,$104.92M        ,$1.77B          ,n/a             ,$227.14M        ,$657.36M        ,$21.07M         ,$32.45M          ,true
mauris               ,38   ,$13.56M         ,$75.03M         ,n/a             ,$1.66B          ,$2B             ,$252.29M        ,$9.24B          ,$36.89M         ,$325.53M        ,$559.33M         ,true
vulputate            ,47   ,$2.11B          ,$575.5M         ,$1.3B           ,$202.44M        ,n/a             ,$2.26B          ,$685.28M        ,$4.74B          ,$44.57M         ,$5.55B           ,true
elementum nullam     ,72   ,$20.83B         ,$100.76M        ,$9.71B          ,n/a             ,n/a             ,$2.28B          ,$266.19M        ,$1.64B          ,$6.45B          ,n/a              ,false
imperdiet            ,65   ,n/a             ,$19.89B         ,$153.62M        ,$120.19M        ,$956.82M        ,n/a             ,$316.82M        ,$224.84M        ,$6.56B          ,$458.32M         ,false
ipsum                ,26   ,n/a             ,$7.15B          ,$215.37M        ,$252.5M         ,n/a             ,$229.8M         ,$220.34M        ,$26.92M         ,$4.97B          ,n/a              ,false
vel augue            ,15   ,$1.04B          ,$231.22M        ,$258.12M        ,$556.53M        ,$67.86M         ,$217.64M        ,$6.07B          ,n/a             ,$6.01B          ,                 ,true
neque sapien         ,75   ,$27.94B         ,$601.02M        ,$75.19B         ,$387.99M        ,$484.37M        ,$207.26M        ,$526.1M         ,$16B            ,n/a             ,n/a              ,true
at                   ,6    ,$21.32M         ,$153.72M        ,n/a             ,n/a             ,$29.24M         ,$230.63M        ,$26.04B         ,$1.59B          ,n/a             ,$4.33B           ,false
sagittis             ,30   ,n/a             ,$2.05B          ,$4.55B          ,$35.98B         ,$6.03B          ,$84.98M         ,$208.41M        ,n/a             ,$3.43B          ,                 ,true
vehicula condimentum ,54   ,$8.33B          ,$7.36M          ,$654.14M        ,$1.6B           ,$115.12M        ,$1.26B          ,$1.31B          ,$1.53B          ,$1.96B          ,$145.98B         ,true
est                  ,59   ,$1.21B          ,$805.82M        ,$110.16B        ,$117.97M        ,n/a             ,$8.13B          ,n/a             ,n/a             ,n/a             ,$166.93B         ,true
vel nisl             ,32   ,$676.91M        ,n/a             ,$8.14B          ,$316.8M         ,$137.46M        ,$546.87M        ,$18.8B          ,$446.68M        ,$58.47M         ,$3.85B           ,false
id luctus            ,90   ,$327.82M        ,n/a             ,$11.98M         ,$6.11M          ,$691.58M        ,n/a             ,$896.52M        ,$5.07B          ,$2.38B          ,n/a              ,false
eleifend pede        ,17   ,$656.65M        ,$23.11B         ,$4.55B          ,$3.51B          ,$9.39B          ,$4.72B          ,$589.55M        ,n/a             ,$40.32M         ,$1.81B           ,true
pellentesque         ,28   ,$6.28B          ,$380.1M         ,$96.67B         ,$107.75B        ,$519.03M        ,                ,$39.22B         ,n/a             ,$19.39B         ,n/a              ,false
ante nulla           ,64   ,$79.27M         ,$261.9M         ,$32.91M         ,n/a             ,$86.97M         ,                ,n/a             ,$52.88M         ,$1.9B           ,$8.7B            ,true
purus sit            ,99   ,$1.31B          ,$959.79M        ,$594.95M        ,n/a             ,$58.46M         ,n/a             ,$3.47B          ,$1.38B          ,n/a             ,                 ,true
dapibus augue        ,62   ,$164.26M        ,$4.4B           ,$1.25M          ,$67.87M         ,$90.06M         ,$17.97B         ,$109.6M         ,$16.14M         ,n/a             ,$1.4B            ,false
consectetuer         ,72   ,$8.7B           ,$955.69M        ,$119.09M        ,$804.88M        ,$23.33B         ,$458.83M        ,$38.19M         ,$5.09B          ,$200.65M        ,$514M            ,false
platea dictumst      ,72   ,$2.7B           ,$649.98M        ,$10.19B         ,$11.13B         ,$78.67B         ,$54.13M         ,$1.79B          ,$98.16M         ,n/a             ,n/a              ,true
mauris morbi         ,100  ,$6.45B          ,$678.58M        ,$1.67B          ,$2.8B           ,$6.95B          ,$402.84M        ,$1.28B          ,$702.12M        ,n/a             ,$2.21M           ,false
ante ipsum           ,10   ,$6.87B          ,$462.37M        ,$571.52M        ,$49.73M         ,$104.11M        ,$7.24B          ,n/a             ,$43.1B          ,$425.52M        ,                 ,false
mattis pulvinar      ,75   ,$10.29B         ,$527.44M        ,$4.11M          ,$887.04M        ,$482.16M        ,n/a             ,$3.47B          ,n/a             ,$11.12M         ,$107.61M         ,false
a feugiat            ,97   ,n/a             ,$138.19M        ,$1.77B          ,$8.17M          ,$2.67B          ,$13.04M         ,$5.07B          ,$82.39M         ,$10.76B         ,$2.35B           ,true
semper               ,43   ,$656.34M        ,$263.7M         ,$27.57M         ,$119.09M        ,$7.14B          ,$6.3B           ,$68.49M         ,$9.89M          ,$4.17B          ,$12.15B          ,false
massa                ,83   ,$3.7B           ,$1.18B          ,n/a             ,$2.27B          ,n/a             ,$70.79M         ,n/a             ,$1.46B          ,n/a             ,$858.82M         ,false
non sodales          ,16   ,$63.65M         ,$21.95B         ,$433.25M        ,$864.84M        ,$1.28B          ,$12.79M         ,$531.09M        ,$2.45B          ,$1.9B           ,$702.5M          ,false
diam                 ,93   ,$4.55B          ,$478.23M        ,$1.97B          ,$50.64M         ,$51.25B         ,n/a             ,$11.65B         ,$3.22B          ,$167.72M        ,n/a              ,true
quis                 ,98   ,$727.71M        ,$802.93M        ,$358.78M        ,$68.38M         ,$448.4M         ,$2.28B          ,n/a             ,$21.58M         ,$188.64M        ,$303.71M         ,true
sit                  ,47   ,$8M             ,$90.88M         ,$17.1B          ,$2.89B          ,$3B             ,$473.38M        ,$18.42B         ,$20.65B         ,n/a             ,n/a              ,true
primis in            ,98   ,$311.18M        ,$387.13M        ,$69.29M         ,$286.77M        ,$888.48M        ,$2.62B          ,$221.54M        ,$11.29M         ,$6.59B          ,n/a              ,true
blandit              ,86   ,n/a             ,n/a             ,$445M           ,$165.3M         ,n/a             ,                ,$875.69M        ,$85.75M         ,$3.87B          ,$1.05B           ,false
commodo vulputate    ,14   ,$3.86B          ,$9.61B          ,$405.57M        ,$192.43M        ,$1.36B          ,$120.74M        ,n/a             ,$9.9M           ,n/a             ,$22.56B          ,true
imperdiet            ,67   ,$2.63M          ,$5.34M          ,$4.88B          ,$780.06M        ,n/a             ,$7.43B          ,$1.02B          ,n/a             ,$1.68B          ,$32.74B          ,true
nisl venenatis       ,42   ,$220.31M        ,$844.04M        ,n/a             ,n/a             ,$54.18B         ,$38.48B         ,n/a             ,$2.86B          ,$361.05M        ,$920.02M         ,true
sed accumsan         ,50   ,$1.61B          ,$50.6M          ,$276.36M        ,$1.58B          ,$40.61B         ,$239.77M        ,$14.14B         ,$4.97B          ,$882.65M        ,$3.46B           ,false
nulla                ,66   ,n/a             ,$7.32B          ,$641.32M        ,$2.47B          ,$390.47M        ,$267.88M        ,n/a             ,$575.9M         ,$3.49M          ,$5.17B           ,false
nam                  ,12   ,$2.61B          ,$4.82B          ,$410.14M        ,$84.27M         ,$463.09M        ,$71.65M         ,n/a             ,$234.92M        ,$126.61M        ,$7.87B           ,false
egestas metus        ,59   ,$33.84B         ,$2.17B          ,n/a             ,$31.68B         ,$36.94M         ,$5.15B          ,$204.83M        ,$834.73M        ,$5.07B          ,$803.43M         ,false
sem                  ,86   ,$355.85M        ,$165.3M         ,$28.79M         ,$6.14M          ,$79.8M          ,$308.22M        ,$580.22M        ,$122.88M        ,$395.17M        ,$233.13M         ,true
scelerisque quam     ,90   ,$451.07M        ,$5.53B          ,$51.95B         ,$8.05B          ,$61.01B         ,$2.32B          ,$84.31M         ,$346.48M        ,n/a             ,$265.68M         ,true
sit amet             ,2    ,$153.72M        ,n/a             ,$77.63M         ,$1.71B          ,$237.5M         ,$5.07B          ,$1.27B          ,n/a             ,$6.14M          ,$23.91B          ,false
nisl                 ,1    ,$326.22M        ,$256.09M        ,$1.84B          ,$741.2M         ,$807.79M        ,                ,$260.58M        ,n/a             ,n/a             ,$34.86M          ,true
et                   ,55   ,$1.5B           ,$4.23B          ,$39.24M         ,$8.23B          ,n/a             ,$3.11B          ,$254.6M         ,$14.79M         ,$2.05B          ,                 ,true
